"Comment","Designator","Footprint","LCSC Part #"
"10uF","C1","C_0805_2012Metric","C91245"
"22pF","C7,C8","C_0805_2012Metric","C1804"
"D_Zener_Small","D2,D1","D_SOD-123","C173412"
"Polyfuse_Small","F1","Fuse_1206_3216Metric","C69688"
"5.1k","R1,R2","R_0805_2012Metric","C27834"
"1.5K","R3","R_0805_2012Metric","C4310"
"68R","R4,R5","R_0805_2012Metric","C17802"
"1k","R7","R_0805_2012Metric","C17513"
"ATmega328P-AU","U1","TQFP-32_7x7mm_P0.8mm","C14877"
"SRV05-4","U2","SOT-23-6","C85364"
"USB_C_Receptacle_USB2.0","USB1","USB_C_Receptacle_HRO_TYPE-C-31-M-12","C165948"
"Crystal_GND24_Small","X1","Crystal_SMD_3225-4Pin_3.2x2.5mm","C13738"
