Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10uF","C_0603_1608Metric",160.223200,-77.012800,180.000000,bottom
"C7","22pF","C_0603_1608Metric",153.974800,-77.368400,90.000000,bottom
"C8","22pF","C_0603_1608Metric",147.574000,-77.368400,270.000000,bottom
"D1","D_Zener_Small","D_SOD-323",144.881600,-73.253600,90.000000,bottom
"D2","D_Zener_Small","D_SOD-323",142.798800,-73.253600,90.000000,bottom
"F1","Polyfuse_Small","Fuse_1206_3216Metric",163.372800,-76.962000,90.000000,bottom
"R1","5.1k","R_0603_1608Metric",164.287200,-66.700400,180.000000,bottom
"R2","5.1k","R_0603_1608Metric",164.287200,-68.376800,180.000000,bottom
"R3","1.5K","R_0603_1608Metric",145.897600,-77.368400,270.000000,bottom
"R4","68R","R_0603_1608Metric",144.221200,-77.368400,90.000000,bottom
"R5","68R","R_0603_1608Metric",142.544800,-77.368400,90.000000,bottom
"U1","ATmega328P-AU","TQFP-32_7x7mm_P0.8mm",147.370800,-88.138000,270.000000,bottom
"U2","SRV05-4","SOT-23-6",144.983200,-68.630800,315.000000,bottom
"USB1","USB_C_Receptacle_USB2.0","USB_C_Receptacle_HRO_TYPE-C-31-M-12",154.940000,-64.465200,0.000000,bottom
"X1","Crystal_GND24_Small","Crystal_SMD_3225-4Pin_3.2x2.5mm",150.774400,-77.368400,180.000000,bottom
"LED1","SK6812MINI","SK6812MINIE-simple",157.124400,-95.961200,90.000000,top
"LED2","SK6812MINI","SK6812MINIE-simple",162.509200,-84.023200,180.000000,top
"LED3","SK6812MINI","SK6812MINIE-simple",156.972000,-72.085200,90.000000,top
